rep,model_name,feature_split_col,train_size,train_ratio,test_size,test_ratio,accuracy,f1_score
0,mobile net 2,sex,500,male:0.0/female:1.0,100,male:1.0/female:0.0,0.6464646464646465,0.6478658217788653
0,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.8/female:0.2,0.6458333333333334,0.6452118187894466
0,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.6/female:0.4,0.6868686868686869,0.6860516934046346
0,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.4/female:0.6,0.6868686868686869,0.6865907653383934
0,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.2/female:0.8,0.6875,0.6866543523435696
0,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.0/female:1.0,0.696969696969697,0.6950931955984729
1,mobile net 2,sex,500,male:0.0/female:1.0,100,male:1.0/female:0.0,0.6464646464646465,0.6478015448603683
1,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.8/female:0.2,0.65625,0.656010780709866
1,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.6/female:0.4,0.696969696969697,0.6970717508030941
1,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.4/female:0.6,0.7171717171717171,0.7154150197628459
1,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.2/female:0.8,0.7083333333333334,0.7094328663900161
1,mobile net 2,sex,500,male:0.0/female:1.0,100,male:0.0/female:1.0,0.7373737373737373,0.7393444955208982
